"Player","Team","Number","Position","Birthdate","College","Year"
"Eric Davis","Carolina Panthers","--","DB","1968-01-26","Jacksonville State","1998"
"Pete Bercich","Minnesota Vikings","--","LB","1971-12-23","Notre Dame","1998"
"Patrick Surtain","Miami Dolphins","--","DB","1976-06-19","Southern Mississippi","1998"
"Billy Austin","Indianapolis Colts","--","DB","1975-03-08","New Mexico","1998"
"Wesley Walls","Carolina Panthers","--","TE","1966-02-26","Mississippi","1998"
"Muhsin Muhammad","Carolina Panthers","--","WR","1973-05-05","Michigan State","1998"
"Louis Riddick","Oakland Raiders","--","DB","1969-03-15","Pittsburgh","1998"
"Kerry Collins","Carolina Panthers","--","QB","1972-12-30","Penn State","1998"
"Steve Morrison","Indianapolis Colts","--","LB","1971-12-28","Michigan","1998"
"Richmond Webb","Miami Dolphins","--","OT","1967-01-11","Texas A&amp;M","1998"
"Mike Thompson","Cincinnati Bengals","--","DT","1972-12-22","Wisconsin","1998"
"Luther Broughton","Carolina Panthers","--","TE","1974-11-30","Furman","1998"
"Brandon Bennett","Cincinnati Bengals","--","RB","1973-02-03","South Carolina","1998"
"Bertrand Berry","Indianapolis Colts","--","DE","1975-08-15","Notre Dame","1998"
"Chidi Ahanotu","Tampa Bay Buccaneers","--","DE","1970-10-11","California","1998"
"Ryan Longwell","Green Bay Packers","--","K","1974-08-16","California","1998"
"Brian Stablein","Detroit Lions","--","WR","1970-04-14","Ohio State","1998"
"Kevin Sargent","Cincinnati Bengals","--","OT","1969-03-31","Eastern Washington","1998"
"Jeff George","Oakland Raiders","--","QB","1967-12-08","Illinois","1998"
"Eric Moulds","Buffalo Bills","--","WR","1973-07-17","Mississippi State","1998"
"Bill Conaty","Buffalo Bills","--","OT","1973-03-08","Virginia Tech","1998"
"Duce Staley","Philadelphia Eagles","--","RB","1975-02-27","South Carolina","1998"
"J.J. McCleskey","Arizona Cardinals","--","DB","1970-04-10","Tennessee","1998"
"William Thomas","Philadelphia Eagles","--","LB","1968-08-13","Texas A&amp;M","1998"
"Winslow Oliver","Carolina Panthers","--","RB","1973-03-03","New Mexico","1998"
"Shawn Swayda","Atlanta Falcons","--","DT","1974-09-04","Arizona State","1998"
"Cornell Brown","Baltimore Ravens","--","LB","1975-03-15","Virginia Tech","1998"
"John Randle","Minnesota Vikings","--","DE","1967-12-12","Texas A&amp;M-Kingsville","1998"
"Chris Gardocki","Indianapolis Colts","--","P","1970-02-07","Clemson","1998"
"Eric Ogbogu","New York Jets","--","DE","1975-07-18","Maryland","1998"
"Scott Kowalkowski","Detroit Lions","--","LB","1968-08-23","Notre Dame","1998"
"Kirby Dar Dar","Miami Dolphins","--","WR","1972-03-27","Syracuse","1998"
"Jessie Tuggle","Atlanta Falcons","--","LB","1965-02-14","Valdosta State","1998"
"Scott Greene","Indianapolis Colts","--","RB","1972-06-01","Michigan State","1998"
"Ricky Proehl","Los Angeles Rams","--","WR","1968-03-07","Wake Forest","1998"
"Jamir Miller","Arizona Cardinals","--","LB","1973-11-19","UCLA","1998"
"D'Marco Farr","Los Angeles Rams","--","DT","1971-06-09","Washington","1998"
"Floyd Young","Tampa Bay Buccaneers","--","DB","1975-11-23","Texas A&amp;M-Kingsville","1998"
"Carnell Lake","Pittsburgh Steelers","--","DB","1967-07-15","UCLA","1998"
"Shane Dronett","Atlanta Falcons","--","DT","1971-01-12","Texas","1998"
"Terry Glenn","New England Patriots","--","WR","1974-07-23","Ohio State","1998"
"Ricky Watters","Seattle Seahawks","--","RB","1969-04-07","Notre Dame","1998"
"Andre Reed","Buffalo Bills","--","WR","1964-01-29","Kutztown","1998"
"Mike Hollis","Jacksonville Jaguars","--","K","1972-05-22","Idaho","1998"
"Jimmy Spencer","San Diego Chargers","--","DB","1969-03-29","Florida","1998"
"Brock Marion","Miami Dolphins","--","DB","1970-06-11","Nevada","1998"
"Rob Johnson","Buffalo Bills","--","QB","1973-03-18","Southern California","1998"
"Kevin Donnalley","Miami Dolphins","--","OG","1968-06-10","North Carolina","1998"
"Robb Thomas","Tampa Bay Buccaneers","--","WR","1966-03-29","Oregon State","1998"
"Ethan Albright","Buffalo Bills","--","OT","1971-05-01","North Carolina","1998"
"Alex Molden","New Orleans Saints","--","DB","1973-08-04","Oregon","1998"
"Ted Popson","Kansas City Chiefs","--","TE","1966-09-10","Portland State","1998"
"Tim Grunhard","Kansas City Chiefs","--","C","1968-05-17","Notre Dame","1998"
"Ken Walter","Carolina Panthers","--","P","1972-08-15","Kent State","1998"
"Mark Royals","New Orleans Saints","--","P","1965-06-22","Appalachian State","1998"
"Ricky Bell","Chicago Bears","--","DB","1974-10-02","North Carolina State","1998"
"Gene Williams","Atlanta Falcons","--","OG","1968-10-14","Iowa State","1998"
"Keith Lyle","Los Angeles Rams","--","DB","1972-04-17","Virginia","1998"
"Kevin Hickman","Detroit Lions","--","TE","1971-08-20","Navy","1998"
"Vaughn Hebron","Denver Broncos","--","RB","1970-10-07","Virginia Tech","1998"
"Lethon Flowers","Pittsburgh Steelers","--","DB","1973-01-14","Georgia Tech","1998"
"Tyrone Wheatley","New York Giants","--","RB","1972-01-19","Michigan","1998"
"Darryl Williams","Seattle Seahawks","--","DB","1970-01-07","Miami","1998"
"Lamar Thomas","Miami Dolphins","--","WR","1970-02-12","Miami","1998"
"Stephen Davis","Washington Redskins","--","RB","1974-03-01","Auburn","1998"
"Shelton Quarles","Tampa Bay Buccaneers","--","LB","1971-09-11","Vanderbilt","1998"
"Rick Tuten","Los Angeles Rams","--","P","1965-01-05","Florida State","1998"
"Donald Hayes","Carolina Panthers","--","WR","1975-07-13","Wisconsin","1998"
"Kevin Gogan","San Francisco 49ers","--","OG","1964-11-02","Washington","1998"
"Alonzo Mayes","Chicago Bears","--","TE","1975-06-04","Oklahoma State","1998"
"Jim Schwantz","Chicago Bears","--","LB","1970-01-23","Purdue","1998"
"George Williams","New York Giants","--","DT","1975-12-08","North Carolina State","1998"
"Cory Schlesinger","Detroit Lions","--","RB","1972-06-23","Nebraska","1998"
"Brian DeMarco","Jacksonville Jaguars","--","OT","1972-04-09","Michigan State","1998"
"Dan Saleaumua","Seattle Seahawks","--","DT","1964-11-25","Arizona State","1998"
"David Dixon","Minnesota Vikings","--","OG","1969-01-05","Arizona State","1998"
"Jeremiah Trotter","Philadelphia Eagles","--","LB","1977-01-20","Stephen F. Austin","1998"
"Jeff Kopp","Jacksonville Jaguars","--","LB","1971-07-08","Southern California","1998"
"Chris Gedney","Arizona Cardinals","--","TE","1970-08-09","Syracuse","1998"
"Kailee Wong","Minnesota Vikings","--","LB","1976-05-23","Stanford","1998"
"Carlester Crumpler","Seattle Seahawks","--","TE","1971-09-05","East Carolina","1998"
"Keith Hamilton","New York Giants","--","DT","1971-05-25","Pittsburgh","1998"
"Sam Rogers","Buffalo Bills","--","LB","1970-05-30","Colorado","1998"
"Mike Flanagan","Green Bay Packers","--","C","1973-11-10","UCLA","1998"
"Tim McDonald","San Francisco 49ers","--","DB","1965-01-06","Southern California","1998"
"Troy Sadowski","Jacksonville Jaguars","--","TE","1965-12-08","Georgia","1998"
"Tony Williams","Minnesota Vikings","--","DT","1975-07-09","Memphis","1998"
"Scott Zolak","New England Patriots","--","QB","1967-12-13","Maryland","1998"
"Singor Mobley","Dallas Cowboys","--","DB","1972-10-12","Washington State","1998"
"Greg Biekert","Oakland Raiders","--","LB","1969-03-14","Colorado","1998"
"Bennie Thompson","Baltimore Ravens","--","DB","1963-02-10","Grambling","1998"
"Fred Taylor","Jacksonville Jaguars","--","RB","1976-01-27","Florida","1998"
"John Burrough","Atlanta Falcons","--","DE","1972-05-17","Wyoming","1998"
"Larry Allen","Dallas Cowboys","--","OG","1971-11-27","Sonoma State","1998"
"Darryl Ashmore","Oakland Raiders","--","OG","1969-11-01","Northwestern","1998"
"Terry Kirby","San Francisco 49ers","--","RB","1970-01-20","Virginia","1998"
"Joe Panos","Buffalo Bills","--","OG","1971-01-24","Wisconsin","1998"
"Troy Wilson","New Orleans Saints","--","DE","1970-11-22","Pittsburg State","1998"
"Shawn Springs","Seattle Seahawks","--","DB","1975-03-11","Ohio State","1998"
"Daryl Johnston","Dallas Cowboys","--","RB","1966-02-10","Syracuse","1998"
"Howard Ballard","Seattle Seahawks","--","OT","1963-11-03","Alabama A&amp;M","1998"
"Dan Stryzinski","Atlanta Falcons","--","P","1965-05-15","Indiana","1998"
"Allen Rossum","Philadelphia Eagles","--","DB","1975-10-22","Notre Dame","1998"
"Stanley Pritchett","Miami Dolphins","--","RB","1973-12-22","South Carolina","1998"
"Quinn Early","Buffalo Bills","--","WR","1965-04-13","Iowa","1998"
"Kimble Anders","Kansas City Chiefs","--","RB","1966-09-10","Houston","1998"
"Chris Oldham","Pittsburgh Steelers","--","DB","1968-10-26","Oregon","1998"
"Marquez Pope","San Francisco 49ers","--","DB","1970-10-29","Fresno State","1998"
"Terry Fair","Detroit Lions","--","DB","1976-07-20","Tennessee","1998"
"Omar Stoutmire","Dallas Cowboys","--","DB","1974-07-09","Fresno State","1998"
"Tyrone Braxton","Denver Broncos","--","DB","1964-12-17","North Dakota State","1998"
"Brock Olivo","Detroit Lions","--","RB","1976-06-24","Missouri","1998"
"Matt O'Dwyer","New York Jets","--","OG","1972-09-01","Northwestern","1998"
"Ben Coates","New England Patriots","--","TE","1969-08-16","Livingstone","1998"
"Tom Knight","Arizona Cardinals","--","DB","1974-12-29","Iowa","1998"
"Deems May","Seattle Seahawks","--","TE","1969-03-06","North Carolina","1998"
"Kevin Devine","Jacksonville Jaguars","--","DB","1974-12-11","California","1998"
"Duane Young","Buffalo Bills","--","TE","1968-05-29","Michigan State","1998"
"Chris Banks","Denver Broncos","--","OG","1973-04-04","Kansas","1998"
"Jerry Fontenot","New Orleans Saints","--","C","1966-11-21","Texas A&amp;M","1998"
"Warren Sapp","Tampa Bay Buccaneers","--","DT","1972-12-19","Miami","1998"
"Darren Perry","Pittsburgh Steelers","--","DB","1968-12-29","Penn State","1998"
"Garrison Hearst","San Francisco 49ers","--","RB","1971-01-04","Georgia","1998"
"David Akers","Washington Redskins","--","K","1974-12-09","Louisville","1998"
"Rickey Dudley","Oakland Raiders","--","TE","1972-07-15","Ohio State","1998"
"Ron Rice","Detroit Lions","--","DB","1972-11-09","Eastern Michigan","1998"
"Jason Ferguson","New York Jets","--","DT","1974-11-28","Georgia","1998"
"J.J. Stokes","San Francisco 49ers","--","WR","1972-10-06","UCLA","1998"
"Jeff Zgonina","Indianapolis Colts","--","DT","1970-05-24","Purdue","1998"
"Jake Reed","Minnesota Vikings","--","WR","1967-09-28","Grambling","1998"
"Scott Galyon","New York Giants","--","LB","1974-03-23","Tennessee","1998"
"Jason Garrett","Dallas Cowboys","--","QB","1966-03-28","Princeton","1998"
"Mark Brunell","Jacksonville Jaguars","--","QB","1970-09-17","Washington","1998"
"Willie Clay","New England Patriots","--","DB","1970-09-05","Georgia Tech","1998"
"Mike Quinn","Dallas Cowboys","--","QB","1974-04-15","Stephen F. Austin","1998"
"David Dunn","Pittsburgh Steelers","--","WR","1972-06-10","Fresno State","1998"
"Les Miller","Carolina Panthers","--","DE","1965-03-01","Fort Hays State","1998"
"Tony Horne","Los Angeles Rams","--","WR","1976-03-21","Clemson","1998"
"Adrian Murrell","Arizona Cardinals","--","RB","1970-10-16","West Virginia","1998"
"Lester Holmes","Arizona Cardinals","--","OG","1969-09-27","Jackson State","1998"
"Elijah Williams","Atlanta Falcons","--","DB","1975-08-20","Florida","1998"
"Carlton Gray","New York Giants","--","DB","1971-06-26","UCLA","1998"
"Harold Shaw","New England Patriots","--","RB","1974-09-03","Southern Mississippi","1998"
"Barrett Brooks","Philadelphia Eagles","--","OT","1972-05-05","Kansas State","1998"
"Donovan Greer","Buffalo Bills","--","DB","1974-09-11","Texas A&amp;M","1998"
"Shaun Williams","New York Giants","--","DB","1976-10-10","UCLA","1998"
"Irv Smith","San Francisco 49ers","--","TE","1971-10-13","Notre Dame","1998"
"Eugene Robinson","Atlanta Falcons","--","DB","1963-05-28","Colgate","1998"
"Chris Doleman","San Francisco 49ers","--","DE","1961-10-16","Pittsburgh","1998"
"Steve Young","San Francisco 49ers","--","QB","1961-10-11","Brigham Young","1998"
"Eric Hicks","Kansas City Chiefs","--","DE","1976-06-17","Maryland","1998"
"Ethan Brooks","Los Angeles Rams","--","OT","1972-04-27","Williams","1998"
"Junior Bryant","San Francisco 49ers","--","DE","1971-01-16","Notre Dame","1998"
"Adam Schreiber","Atlanta Falcons","--","C","1962-02-20","Texas","1998"
"Victor Green","New York Jets","--","DB","1969-12-08","Akron","1998"
"Jay Fiedler","Minnesota Vikings","--","QB","1971-12-29","Dartmouth","1998"
"Carlos Emmons","Pittsburgh Steelers","--","LB","1973-09-03","Arkansas State","1998"
"Greg Huntington","Chicago Bears","--","C","1970-09-22","Penn State","1998"
"Lamar Smith","New Orleans Saints","--","RB","1970-11-29","Houston","1998"
"Don Davis","Tampa Bay Buccaneers","--","LB","1972-12-17","Kansas","1998"
"Will Blackwell","Pittsburgh Steelers","--","WR","1975-07-09","San Diego State","1998"
"Matthew Hatchette","Minnesota Vikings","--","WR","1974-05-01","Langston","1998"
"Kevin Carter","Los Angeles Rams","--","DE","1973-09-21","Florida","1998"
"Jason Fabini","New York Jets","--","OT","1974-08-25","Cincinnati","1998"
"Chuck Levy","San Francisco 49ers","--","RB","1972-01-07","Arizona","1998"
"Dwight Stone","Carolina Panthers","--","WR","1964-01-28","Middle Tennessee State","1998"
"Steve Broussard","Seattle Seahawks","--","RB","1967-02-22","Washington State","1998"
"Roman Oben","New York Giants","--","OT","1972-10-09","Louisville","1998"
"Raylee Johnson","San Diego Chargers","--","DE","1970-06-01","Arkansas","1998"
"Bryan Robinson","Chicago Bears","--","DE","1974-06-22","Fresno State","1998"
"Gary Downs","Atlanta Falcons","--","RB","1972-06-06","North Carolina State","1998"
"Sam Garnes","New York Giants","--","DB","1974-07-12","Cincinnati","1998"
"Mark Wheeler","New England Patriots","--","DT","1970-04-01","Texas A&amp;M","1998"
"Chuck Osborne","Oakland Raiders","--","DT","1973-11-02","Arizona","1998"
"Richard Jordan","Detroit Lions","--","LB","1974-12-01","Missouri Southern State","1998"
"Tony Brackens","Jacksonville Jaguars","--","DE","1974-12-26","Texas","1998"
"Mike Sheldon","Miami Dolphins","--","OT","1973-06-08","Grand Valley State","1998"
"Lincoln Kennedy","Oakland Raiders","--","OT","1971-02-12","Washington","1998"
"Terry Allen","Washington Redskins","--","RB","1968-02-21","Clemson","1998"
"Mike Gisler","New York Jets","--","C","1969-08-26","Houston","1998"
"Steve Stenstrom","Chicago Bears","--","QB","1971-12-23","Stanford","1998"
"Richard Harvey","Oakland Raiders","--","LB","1966-09-11","Tulane","1998"
"Kent Graham","New York Giants","--","QB","1968-11-01","Ohio State","1998"
"Chris Howard","Jacksonville Jaguars","--","RB","1975-05-05","Michigan","1998"
"Clay Shiver","Dallas Cowboys","--","C","1972-12-07","Florida State","1998"
"Rich Griffith","Jacksonville Jaguars","--","TE","1969-07-31","Arizona","1998"
"Steve Everitt","Philadelphia Eagles","--","C","1970-08-21","Michigan","1998"
"James Dexter","Arizona Cardinals","--","OT","1973-03-03","South Carolina","1998"
"Jason Peter","Carolina Panthers","--","DE","1974-09-13","Nebraska","1998"
"Keith Traylor","Denver Broncos","--","DT","1969-09-03","Central Oklahoma","1998"
"Greg Manusky","Kansas City Chiefs","--","LB","1966-08-18","Colgate","1998"
"John Jett","Detroit Lions","--","P","1968-11-11","East Carolina","1998"
"Lorenzo Bromell","Miami Dolphins","--","DE","1975-09-23","Clemson","1998"
"Walter Rasby","Detroit Lions","--","TE","1972-09-07","Wake Forest","1998"
"Tyrone Hughes","Dallas Cowboys","--","DB","1970-01-14","Nebraska","1998"
"Aaron Hayden","Philadelphia Eagles","--","RB","1973-04-13","Tennessee","1998"
"Robbie Tobeck","Atlanta Falcons","--","C","1970-03-06","Washington State","1998"
"Chris Penn","Chicago Bears","--","WR","1971-04-20","Tulsa","1998"
"Everett Lindsay","Minnesota Vikings","--","OG","1970-09-18","Mississippi","1998"
"Todd Fordham","Jacksonville Jaguars","--","OT","1973-10-09","Florida State","1998"
"Jeff Jaeger","Chicago Bears","--","K","1964-11-26","Washington","1998"
"Az-Zahir Hakim","Los Angeles Rams","--","WR","1977-06-03","San Diego State","1998"
"Sean Dawkins","New Orleans Saints","--","WR","1971-02-03","California","1998"
"Will Shields","Kansas City Chiefs","--","OG","1971-09-15","Nebraska","1998"
"DeRon Jenkins","Baltimore Ravens","--","DB","1973-11-14","Tennessee","1998"
"Jerry Reynolds","New York Giants","--","OG","1970-04-02","Nevada-Las Vegas","1998"
"Mark Chmura","Green Bay Packers","--","TE","1969-02-22","Boston College","1998"
"Sam Madison","Miami Dolphins","--","DB","1974-04-23","Louisville","1998"
"Gerald McBurrows","Los Angeles Rams","--","DB","1973-10-07","Kansas","1998"
"Willie Jackson","Cincinnati Bengals","--","WR","1971-08-16","Florida","1998"
"Andre Purvis","Cincinnati Bengals","--","DT","1973-07-14","North Carolina","1998"
"Tom Rouen","Denver Broncos","--","P","1968-06-09","Colorado","1998"
"Anthony Peterson","San Francisco 49ers","--","LB","1972-01-23","Notre Dame","1998"
"Daryl Gardener","Miami Dolphins","--","DT","1973-02-25","Baylor","1998"
"Kywin Supernaw","Detroit Lions","--","DB","1975-06-02","Indiana","1998"
"Curtis Enis","Chicago Bears","--","RB","1976-06-15","Penn State","1998"
"Brian Kozlowski","Atlanta Falcons","--","TE","1970-10-04","Connecticut","1998"
"Chris Naeole","New Orleans Saints","--","OG","1974-12-25","Colorado","1998"
"Adam Meadows","Indianapolis Colts","--","OT","1974-01-25","Georgia","1998"
"Rob Holmberg","New York Jets","--","LB","1971-05-06","Penn State","1998"
"Hunter Goodwin","Minnesota Vikings","--","TE","1972-10-10","Texas A&amp;M","1998"
"Ryan Phillips","New York Giants","--","LB","1974-02-07","Idaho","1998"
"Kirk Scrafford","San Francisco 49ers","--","OT","1967-03-16","Montana","1998"
"Tyrell Peters","Baltimore Ravens","--","LB","1974-08-04","Oklahoma","1998"
"Bernard Wilson","Arizona Cardinals","--","DT","1970-08-17","Tennessee State","1998"
"Dave Brown","Arizona Cardinals","--","QB","1970-02-25","Duke","1998"
"Andre Collins","Chicago Bears","--","LB","1968-05-04","Penn State","1998"
"Ramos McDonald","Minnesota Vikings","--","DB","1976-04-30","New Mexico","1998"
"Jerome Woods","Kansas City Chiefs","--","DB","1973-03-17","Memphis","1998"
"Klaus Wilmsmeyer","Miami Dolphins","--","P","1967-12-04","Louisville","1998"
"Corey Sears","Los Angeles Rams","--","DT","1973-04-15","Mississippi State","1998"
"Hardy Nickerson","Tampa Bay Buccaneers","--","LB","1965-09-01","California","1998"
"Greg Favors","Kansas City Chiefs","--","LB","1974-09-30","Mississippi State","1998"
"Robert Blackmon","Indianapolis Colts","--","DB","1967-05-12","Baylor","1998"
"Bruce Armstrong","New England Patriots","--","OT","1965-09-07","Louisville","1998"
"Rick Lyle","New York Jets","--","DE","1971-02-26","Missouri","1998"
"Jeff Christy","Minnesota Vikings","--","C","1969-02-03","Pittsburgh","1998"
"Kevin Abrams","Detroit Lions","--","DB","1974-02-28","Syracuse","1998"
"Corey Dillon","Cincinnati Bengals","--","RB","1974-10-24","Washington","1998"
"Dave Fiore","San Francisco 49ers","--","OG","1974-08-10","Hofstra","1998"
"Mike Vanderjagt","Indianapolis Colts","--","K","1970-03-24","West Virginia","1998"
"Albert Fontenot","Indianapolis Colts","--","DE","1970-09-17","Baylor","1998"
"Brett Conway","Washington Redskins","--","K","1975-03-08","Penn State","1998"
"Chris Sullivan","New England Patriots","--","DE","1973-03-14","Boston College","1998"
"Tony Gonzalez","Kansas City Chiefs","--","TE","1976-02-27","California","1998"
"Bryant Young","San Francisco 49ers","--","DT","1972-01-27","Notre Dame","1998"
"Pete Mitchell","Jacksonville Jaguars","--","TE","1971-10-09","Boston College","1998"
"Craig Heyward","Indianapolis Colts","--","RB","1966-09-26","Pittsburgh","1998"
"Pepper Johnson","New York Jets","--","LB","1964-07-29","Ohio State","1998"
"Joe Cummings","Buffalo Bills","--","LB","1972-06-08","Wyoming","1998"
"Marc Edwards","San Francisco 49ers","--","RB","1974-11-17","Notre Dame","1998"
"Neil O'Donnell","Cincinnati Bengals","--","QB","1966-07-03","Maryland","1998"
"Doug Pederson","Green Bay Packers","--","QB","1968-01-31","Northeast Louisiana","1998"
"Ralph Tamm","Kansas City Chiefs","--","OG","1966-03-11","West Chester","1998"
"Kevin Mathis","Dallas Cowboys","--","DB","1974-04-29","Texas A&amp;M-Commerce","1998"
"Jake Plummer","Arizona Cardinals","--","QB","1974-12-19","Arizona State","1998"
"Craig Sauer","Atlanta Falcons","--","LB","1972-12-13","Minnesota","1998"
"John Allred","Chicago Bears","--","TE","1974-09-09","Southern California","1998"
"Lamont Warren","Indianapolis Colts","--","RB","1973-01-04","Colorado","1998"
"Bryan Barker","Jacksonville Jaguars","--","P","1964-06-28","Santa Clara","1998"
"Ken Norton","San Francisco 49ers","--","LB","1966-09-29","UCLA","1998"
"Mo Lewis","New York Jets","--","LB","1969-10-21","Georgia","1998"
"Mark Schlereth","Denver Broncos","--","OG","1966-01-25","Idaho","1998"
"Raghib Ismail","Carolina Panthers","--","WR","1969-11-18","Notre Dame","1998"
"Alex Van Dyke","New York Jets","--","WR","1974-07-24","Nevada","1998"
"Jimmie Johnson","Philadelphia Eagles","--","TE","1966-10-06","Howard","1998"
"Jay Leeuwenburg","Indianapolis Colts","--","OG","1969-06-18","Colorado","1998"
"Izell Reese","Dallas Cowboys","--","DB","1974-05-07","Alabama-Birmingham","1998"
"Simeon Rice","Arizona Cardinals","--","DE","1974-02-24","Illinois","1998"
"Kris Mangum","Carolina Panthers","--","TE","1973-08-15","Mississippi","1998"
"Bryan Schwartz","Jacksonville Jaguars","--","LB","1971-12-05","Augustana (SD)","1998"
"Brant Boyer","Jacksonville Jaguars","--","LB","1971-06-27","Arizona","1998"
"Jon Kitna","Seattle Seahawks","--","QB","1972-09-21","Central Washington","1998"
"Steve Bush","Cincinnati Bengals","--","TE","1974-07-04","Arizona State","1998"
"Ernie Conwell","Los Angeles Rams","--","TE","1972-08-17","Washington","1998"
"Bryan Stoltenberg","Carolina Panthers","--","C","1972-08-25","Colorado","1998"
"Ben Coleman","Jacksonville Jaguars","--","OT","1971-05-18","Wake Forest","1998"
"Corey Bradford","Green Bay Packers","--","WR","1975-12-08","Jackson State","1998"
"Cary Blanchard","Washington Redskins","--","K","1968-11-05","Oklahoma State","1998"
"Jabbar Threats","Jacksonville Jaguars","--","DE","1975-04-26","Michigan State","1998"
"Aeneas Williams","Arizona Cardinals","--","DB","1968-01-29","Southern","1998"
"Patrick Hape","Tampa Bay Buccaneers","--","TE","1974-06-06","Alabama","1998"
"Jonathan Linton","Buffalo Bills","--","RB","1974-10-07","North Carolina","1998"
"Kurt Gouveia","San Diego Chargers","--","LB","1964-09-14","Brigham Young","1998"
"Mike Devlin","Arizona Cardinals","--","C","1969-11-16","Iowa","1998"
"Jason Hanson","Detroit Lions","--","K","1970-06-17","Washington State","1998"
"Leomont Evans","Washington Redskins","--","DB","1974-07-12","Clemson","1998"
"Jason Maniecki","Tampa Bay Buccaneers","--","DT","1972-08-15","Wisconsin","1998"
"Rich Tylski","Jacksonville Jaguars","--","OG","1971-02-27","Utah State","1998"
"David Richie","San Francisco 49ers","--","DT","1973-09-26","Washington","1998"
"Joey Galloway","Seattle Seahawks","--","WR","1971-11-20","Ohio State","1998"
"David Meggett","New York Jets","--","RB","1966-04-30","Towson","1998"
"Jerald Moore","Los Angeles Rams","--","RB","1974-11-20","Oklahoma","1998"
"Antonio Banks","Minnesota Vikings","--","DB","1973-03-12","Virginia Tech","1998"
"Anthony Prior","Oakland Raiders","--","DB","1970-03-27","Washington State","1998"
"Anthony Phillips","Minnesota Vikings","--","DB","1970-10-05","Texas A&amp;M-Kingsville","1998"
"Jerry Ostroski","Buffalo Bills","--","C","1970-07-12","Tulsa","1998"
"Barry Minter","Chicago Bears","--","LB","1970-01-28","Tulsa","1998"
"Merton Hanks","San Francisco 49ers","--","DB","1968-03-12","Iowa","1998"
"Jeff Thomason","Green Bay Packers","--","TE","1969-12-30","Oregon","1998"
"Johnnie Morton","Detroit Lions","--","WR","1971-10-07","Southern California","1998"
"Kurt Schulz","Buffalo Bills","--","DB","1968-12-12","Eastern Washington","1998"
"Monty Montgomery","Indianapolis Colts","--","DB","1973-12-08","Houston","1998"
"Melvin Johnson","Kansas City Chiefs","--","DB","1972-04-15","Kentucky","1998"
"Charlie Garner","Philadelphia Eagles","--","RB","1972-02-13","Tennessee","1998"
"Lovett Purnell","New England Patriots","--","TE","1972-04-07","West Virginia","1998"
"Chris Floyd","New England Patriots","--","RB","1975-06-23","Michigan","1998"
"Nate Newton","Dallas Cowboys","--","OG","1961-12-20","Florida A&amp;M","1998"
"Shawn Price","Buffalo Bills","--","DE","1970-03-28","Pacific","1998"
"John Copeland","Cincinnati Bengals","--","DT","1970-09-20","Alabama","1998"
"Ty Hallock","Chicago Bears","--","RB","1971-04-30","Michigan State","1998"
"Richard Cooper","Philadelphia Eagles","--","OT","1964-11-01","Tennessee","1998"
"Rashod Swinger","Arizona Cardinals","--","DT","1974-11-27","Rutgers","1998"
"Robert Harris","New York Giants","--","DT","1969-06-13","Southern","1998"
"Gilbert Brown","Green Bay Packers","--","DT","1971-02-22","Kansas","1998"
"Ronnie Bradford","Atlanta Falcons","--","DB","1970-10-01","Colorado","1998"
"Frank Garcia","Carolina Panthers","--","OG","1972-01-28","Washington","1998"
"Pete Chryplewicz","Detroit Lions","--","TE","1974-04-27","Notre Dame","1998"
"Chad Cascadden","New York Jets","--","LB","1972-05-14","Wisconsin","1998"
"Joel Steed","Pittsburgh Steelers","--","DT","1969-02-17","Colorado","1998"
"Howard Cross","New York Giants","--","TE","1967-08-08","Alabama","1998"
"Steve Christie","Buffalo Bills","--","K","1967-11-13","William &amp; Mary","1998"
"Alshermond Singleton","Tampa Bay Buccaneers","--","LB","1975-08-07","Temple","1998"
"Tony Martin","Atlanta Falcons","--","WR","1965-09-05","Mesa State","1998"
"Curtis Conway","Chicago Bears","--","WR","1971-03-13","Southern California","1998"
"Terrell Fletcher","San Diego Chargers","--","RB","1973-09-14","Wisconsin","1998"
"Dorsey Levens","Green Bay Packers","--","RB","1970-05-21","Georgia Tech","1998"
"Steve Beuerlein","Carolina Panthers","--","QB","1965-03-07","Notre Dame","1998"
"Ty Parten","Kansas City Chiefs","--","DT","1969-10-13","Arizona","1998"
"John Hall","New York Jets","--","K","1974-03-17","Wisconsin","1998"
"Jumbo Elliott","New York Jets","--","OT","1965-04-01","Michigan","1998"
"Mike Croel","Seattle Seahawks","--","DE","1969-06-06","Nebraska","1998"
"Kevin Dogins","Tampa Bay Buccaneers","--","C","1972-12-07","Texas A&amp;M-Kingsville","1998"
"Leon Johnson","New York Jets","--","RB","1974-07-13","North Carolina","1998"
"Fred McAfee","Pittsburgh Steelers","--","RB","1968-06-20","Mississippi College","1998"
"Dan Brandenburg","Buffalo Bills","--","LB","1973-02-02","Indiana State","1998"
"Kendall Gammon","New Orleans Saints","--","TE","1968-10-23","Pittsburg State","1998"
"Doug Pelfrey","Cincinnati Bengals","--","K","1970-09-25","Kentucky","1998"
"Tony Mandarich","Indianapolis Colts","--","OG","1966-09-23","Michigan State","1998"
"Stevon Moore","Baltimore Ravens","--","DB","1967-02-09","Mississippi","1998"
"Norman Hand","San Diego Chargers","--","DT","1972-09-04","Mississippi","1998"
"Kendel Shello","Indianapolis Colts","--","DT","1973-11-24","Southern","1998"
"Lamar Lathon","Carolina Panthers","--","LB","1967-12-23","Houston","1998"
